,origin,busy_origin
0,ATL,4
1,ORD,4
2,DFW,4
3,DEN,4
4,LAX,4
5,CLT,4
6,SEA,4
7,PHX,4
8,DTW,4
9,SFO,4
10,IAH,4
11,LGA,3
12,LAS,3
13,MSP,3
14,PHL,3
15,EWR,3
16,BOS,3
17,DCA,3
18,MCO,3
19,JFK,3
20,SLC,3
21,BWI,3
22,FLL,3
23,SAN,3
24,IAD,3
25,PDX,3
26,MIA,3
27,MDW,3
28,BNA,3
29,TPA,3
30,STL,3
31,DAL,3
32,SJC,3
33,RDU,3
34,AUS,3
35,MCI,3
36,MSY,3
37,HOU,3
38,HNL,3
39,SMF,3
40,OAK,3
41,PIT,3
42,CVG,3
43,CLE,3
44,IND,3
45,CMH,3
46,SNA,3
47,SAT,3
48,MKE,3
49,JAX,3
50,BUR,3
51,BDL,3
52,RSW,3
53,BUF,3
54,OGG,3
55,RIC,3
56,OMA,3
57,ABQ,3
58,MEM,3
59,OKC,3
60,SJU,3
61,SDF,3
62,CHS,3
63,ORF,3
64,PBI,3
65,BOI,3
66,ONT,3
67,RNO,3
68,GRR,3
69,PVD,3
70,GEG,3
71,BHM,3
72,SAV,3
73,ANC,3
74,ROC,3
75,GSO,3
76,TYS,3
77,TUL,3
78,TUS,3
79,GSP,3
80,DSM,3
81,SYR,3
82,DAY,3
83,ELP,3
84,ALB,3
85,LGB,3
86,MSN,3
87,KOA,3
88,XNA,3
89,LIT,3
90,PWM,3
91,LIH,3
92,FAT,3
93,PNS,3
94,MYR,2
95,PSP,2
96,ICT,2
97,MHT,2
98,BTV,2
99,LEX,2
100,CAE,2
101,HPN,2
102,MDT,2
103,HSV,2
104,CID,2
105,COS,2
106,CHA,2
107,EUG,2
108,MAF,2
109,AVL,2
110,SFB,2
111,MFR,2
112,SGF,2
113,CHO,2
114,RDM,2
115,ILM,2
116,CAK,2
117,VPS,2
118,JAN,2
119,FSD,2
120,SRQ,2
121,BTR,2
122,BZN,2
123,PSC,2
124,FWA,2
125,LBB,2
126,SBN,2
127,PIE,2
128,ROA,2
129,SBA,2
130,FAR,2
131,ITO,2
132,TLH,2
133,AMA,2
134,MOB,2
135,ABE,2
136,SHV,2
137,RAP,2
138,ISP,2
139,PIA,2
140,EVV,2
141,ASE,2
142,GRB,2
143,ATW,2
144,MSO,2
145,MLI,2
146,CRP,2
147,BIS,2
148,PGD,2
149,JNU,2
150,ECP,2
151,TVC,2
152,AZA,2
153,AVP,2
154,CRW,2
155,BIL,2
156,MFE,2
157,SBP,2
158,GNV,2
159,BGR,2
160,DRO,2
161,FNT,2
162,JAC,2
163,TRI,2
164,GJT,2
165,LFT,2
166,FCA,2
167,MGM,2
168,FAY,2
169,AGS,2
170,GPT,2
171,EYW,2
172,MRY,2
173,SCE,2
174,LAN,2
175,STS,2
176,BLI,2
177,HRL,2
178,FAI,2
179,RST,2
180,PAE,2
181,CWA,2
182,AZO,2
183,PHF,2
184,DAB,2
185,SGU,2
186,LNK,2
187,GTF,1
188,ELM,1
189,MLB,1
190,AEX,1
191,OAJ,1
192,MLU,1
193,ACY,1
194,MBS,1
195,SWF,1
196,ITH,1
197,STT,1
198,KTN,1
199,CMI,1
200,HLN,1
201,DLH,1
202,IDA,1
203,SAF,1
204,EGE,1
205,BMI,1
206,ERI,1
207,TTN,1
208,GFK,1
209,GRK,1
210,COU,1
211,FSM,1
212,EWN,1
213,MTJ,1
214,BFL,1
215,BRO,1
216,TOL,1
217,CPR,1
218,ABI,1
219,LRD,1
220,CLL,1
221,DHN,1
222,SJT,1
223,MHK,1
224,BQN,1
225,LYH,1
226,ISN,1
227,LNY,1
228,LCH,1
229,HDN,1
230,MOT,1
231,LSE,1
232,HHH,1
233,SPI,1
234,SUN,1
235,ORH,1
236,HTS,1
237,ACV,1
238,FLG,1
239,YUM,1
240,LAW,1
241,RDD,1
242,PUW,1
243,TYR,1
244,CSG,1
245,TXK,1
246,ACT,1
247,SIT,1
248,SPS,1
249,FLO,1
250,LBE,1
251,EAT,1
252,ACK,1
253,SBY,1
254,SCC,1
255,PGV,1
256,LWS,1
257,MQT,1
258,LCK,1
259,PLN,1
260,SCK,1
261,HYS,1
262,GTR,1
263,BQK,1
264,BLV,1
265,BPT,1
266,ROW,1
267,YKM,1
268,EAU,1
269,TWF,1
270,GRI,1
271,PBG,1
272,STX,1
273,COD,1
274,MKK,1
275,GUC,1
276,SLN,1
277,PUB,1
278,VLD,1
279,USA,0
280,MEI,0
281,HVN,0
282,ALW,0
283,GUM,0
284,BGM,0
285,SUX,0
286,JHM,0
287,SWO,0
288,PIH,0
289,YAK,0
290,JLN,0
291,IPT,0
292,BRW,0
293,ESC,0
294,OME,0
295,BJI,0
296,WRG,0
297,RHI,0
298,GCC,0
299,CDC,0
300,CDV,0
301,INL,0
302,BET,0
303,CKB,0
304,ABR,0
305,MKG,0
306,SPN,0
307,PSE,0
308,UIN,0
309,ABY,0
310,DBQ,0
311,LBF,0
312,CGI,0
313,DUT,0
314,BRD,0
315,LWB,0
316,PVU,0
317,CMX,0
318,PAH,0
319,RKS,0
320,GCK,0
321,GGG,0
322,DIK,0
323,PIB,0
324,BFF,0
325,IAG,0
326,SHD,0
327,OTZ,0
328,PSG,0
329,ADQ,0
330,HIB,0
331,LAR,0
332,HOB,0
333,RFD,0
334,CIU,0
335,ART,0
336,JMS,0
337,BTM,0
338,IMT,0
339,DRT,0
340,ATY,0
341,EKO,0
342,MVY,0
343,PQI,0
344,ALO,0
345,VEL,0
346,MMH,0
347,DVL,0
348,LBL,0
349,APN,0
350,OTH,0
351,CNY,0
352,EAR,0
353,OGS,0
354,PSM,0
355,CYS,0
356,WYS,0
357,OGD,0
358,PIR,0
359,PRC,0
360,HGR,0
361,XWA,0
362,SMX,0
363,DLG,0
364,BFM,0
365,AKN,0
366,STC,0
367,PPG,0
368,OWB,0
369,BKG,0
370,ADK,0
371,IFP,0
372,GST,0
373,ROP,0
374,HYA,0
