,month,airport,mean_precip_monthly,mean_snow_monthly,mean_wind_monthly,mean_cloud_monthly
472,3,MCI,0.0,1,0.0,2
473,3,MCO,0.0,0,1.0,0
474,3,MDW,0.0,0,0.0,3
475,3,MKE,0.0,0,3.0,0
476,3,MOB,0.0,0,0.0,0
477,3,MSO,0.0,0,3.0,3
478,3,MSP,0.0,2,3.0,2
479,3,MSY,0.0,0,2.0,2
480,3,MTJ,1.0,0,3.0,3
481,3,OAJ,0.0,0,3.0,0
482,3,OAK,0.0,0,0.0,1
483,3,OGG,1.0,0,3.0,1
484,3,OMA,0.0,0,3.0,1
485,3,ONT,0.0,0,2.0,2
486,3,ORD,0.0,1,2.0,2
487,3,ORF,0.0,0,0.0,0
488,3,PBI,0.0,0,2.0,1
489,3,PDX,0.0,0,3.0,3
490,3,PHL,0.0,1,2.0,2
491,3,PHX,0.0,0,0.0,2
492,3,PIT,0.0,0,3.0,3
493,3,PNS,0.0,0,2.0,0
494,3,PVD,0.0,0,1.0,1
495,3,RDM,0.0,2,0.0,3
496,3,RDU,1.0,1,1.0,2
497,3,RIC,0.0,0,3.0,1
498,3,RSW,1.0,0,0.0,1
499,3,SAN,0.0,0,0.0,2
500,3,SAT,0.0,0,0.0,3
501,3,SBP,0.0,0,0.0,0
502,3,SEA,0.0,0,1.0,2
503,3,SFB,0.0,0,0.0,0
504,3,SFO,1.0,0,3.0,3
505,3,SGU,0.0,0,3.0,3
506,3,SJC,0.0,0,2.0,2
507,3,SMF,1.0,0,1.0,2
508,3,SNA,0.0,0,1.0,1
509,3,SPI,0.0,0,1.0,0
510,3,SRQ,0.0,0,3.0,0
511,3,STL,0.0,0,2.0,2
512,3,SWO,0.0,0,3.0,0
513,3,TPA,0.0,0,1.0,0
514,3,TUL,0.0,0,3.0,0
515,3,XNA,0.0,0,0.0,0
516,4,ANC,0.0,0,2.0,0
517,4,ASE,1.0,2,2.0,3
518,4,ATL,1.0,0,1.0,2
519,4,AVL,0.0,0,1.0,0
520,4,AZA,0.0,0,0.0,0
521,4,BNA,0.0,0,0.0,0
522,4,BOI,1.0,0,3.0,3
523,4,BOS,1.0,0,1.0,3
524,4,BQK,0.0,0,1.0,0
525,4,BTR,0.0,0,0.0,0
526,4,BUR,0.0,0,0.0,2
527,4,BWI,0.0,0,1.0,3
528,4,BZN,0.0,0,3.0,3
529,4,CHA,1.0,0,0.0,3
530,4,CHO,0.0,0,0.0,0
531,4,CHS,1.0,0,0.0,2
532,4,CID,0.0,0,2.0,1
533,4,CLE,0.0,0,3.0,3
534,4,CLT,1.0,0,1.0,2
535,4,CMH,1.0,0,1.0,3
536,4,CRW,0.0,0,0.0,3
537,4,CVG,0.0,0,3.0,3
538,4,DAL,0.0,0,1.0,1
539,4,DAY,0.0,0,2.0,3
540,4,DCA,0.0,0,3.0,2
541,4,DEN,0.0,0,3.0,2
542,4,DFW,0.0,0,2.0,2
543,4,DTW,0.0,0,1.0,3
544,4,DUT,0.0,0,1.0,3
545,4,EWR,1.0,1,3.0,2
546,4,FLL,0.0,0,2.0,1
547,4,FLO,0.0,0,0.0,0
548,4,GPT,0.0,0,1.0,0
549,4,GRB,0.0,0,0.0,0
550,4,GSP,0.0,0,0.0,2
551,4,HNL,0.0,0,1.0,2
552,4,HOU,0.0,0,0.0,0
553,4,HVN,0.0,0,3.0,3
554,4,IAD,0.0,0,1.0,3
555,4,IAH,0.0,0,2.0,2
556,4,ICT,0.0,0,3.0,2
557,4,IND,0.0,0,3.0,3
558,4,JFK,1.0,1,3.0,3
559,4,KOA,0.0,0,2.0,3
560,4,LAN,0.0,0,0.0,0
561,4,LAS,0.0,0,2.0,1
562,4,LAX,0.0,0,1.0,1
563,4,LGA,0.0,0,3.0,2
564,4,LGB,0.0,0,0.0,0
565,4,LIH,0.0,0,1.0,0
566,4,MAF,0.0,0,0.0,0
567,4,MCI,0.0,0,0.0,3
568,4,MCO,0.0,0,1.0,1
569,4,MDW,0.0,0,3.0,3
570,4,MEM,0.0,0,0.0,2
571,4,MFR,0.0,0,1.0,3
572,4,MHT,0.0,0,0.0,3
573,4,MIA,0.0,0,1.0,1
574,4,MKE,1.0,2,2.0,3
575,4,MQT,0.0,0,2.0,2
576,4,MSN,1.0,1,3.0,3
577,4,MSP,0.0,0,0.0,2
578,4,MSY,0.0,0,1.0,2
579,4,MYR,0.0,0,0.0,0
580,4,OAK,0.0,0,3.0,2
581,4,OGG,1.0,0,1.0,3
582,4,ORD,1.0,1,2.0,2
583,4,ORF,1.0,0,3.0,1
584,4,ORH,0.0,0,0.0,1
585,4,PBI,1.0,0,3.0,3
586,4,PDX,0.0,0,0.0,1
587,4,PGD,0.0,0,3.0,1
588,4,PHL,1.0,0,3.0,3
589,4,PHX,0.0,0,0.0,2
590,4,PIT,0.0,0,1.0,3
591,4,PNS,0.0,0,0.0,0
592,4,PSM,0.0,0,0.0,3
593,4,PSP,0.0,0,3.0,0
594,4,PVD,1.0,2,0.0,3
595,4,RDM,0.0,0,2.0,1
596,4,RDU,1.0,0,1.0,2
597,4,RNO,0.0,0,2.0,3
598,4,RSW,0.0,0,0.0,1
599,4,SAN,0.0,0,0.0,2
600,4,SAT,0.0,0,0.0,2
601,4,SAV,0.0,0,0.0,0
602,4,SDF,0.0,0,3.0,1
603,4,SEA,1.0,0,1.0,3
604,4,SFB,0.0,0,0.0,0
605,4,SFO,0.0,0,2.0,2
606,4,SJC,1.0,0,0.0,3
607,4,SLC,0.0,0,0.0,2
608,4,SMF,0.0,0,0.0,1
609,4,SNA,0.0,0,2.0,1
610,4,STS,0.0,0,0.0,2
611,4,SYR,0.0,1,3.0,3
612,4,TPA,1.0,0,3.0,1
613,4,TUL,0.0,0,2.0,0
614,4,TUS,0.0,0,0.0,0
615,4,TYS,1.0,0,3.0,3
616,4,VPS,1.0,0,0.0,3
617,4,XNA,0.0,0,3.0,0
618,5,ABQ,0.0,0,0.0,0
619,5,ANC,0.0,0,2.0,2
620,5,ATL,0.0,0,1.0,2
621,5,AUS,1.0,0,2.0,2
622,5,BDL,1.0,0,3.0,3
623,5,BHM,1.0,0,2.0,3
624,5,BNA,1.0,0,1.0,3
625,5,BOI,1.0,0,2.0,1
626,5,BOS,0.0,0,3.0,2
627,5,BRO,0.0,0,2.0,2
628,5,BTR,0.0,0,1.0,1
629,5,BUR,0.0,0,0.0,1
630,5,BWI,0.0,0,1.0,2
631,5,BZN,0.0,0,1.0,0
632,5,CAE,0.0,0,0.0,0
633,5,CHS,1.0,0,0.0,3
634,5,CLE,0.0,0,3.0,3
635,5,CLT,0.0,0,1.0,2
636,5,CMH,1.0,0,1.0,3
637,5,COS,0.0,0,3.0,1
638,5,CRP,0.0,0,3.0,1
639,5,DAL,0.0,0,0.0,2
640,5,DAY,0.0,0,1.0,3
641,5,DCA,1.0,0,1.0,3
642,5,DEN,1.0,1,3.0,2
643,5,DFW,1.0,0,2.0,2
644,5,DLH,1.0,0,0.0,1
645,5,DTW,1.0,0,2.0,3
646,5,EAT,0.0,0,1.0,0
647,5,ELP,0.0,0,0.0,0
648,5,EWR,0.0,0,3.0,3
649,5,EYW,1.0,0,3.0,1
650,5,FAR,0.0,0,3.0,0
651,5,FAT,0.0,0,0.0,0
652,5,FLL,1.0,0,0.0,3
653,5,FSD,0.0,0,0.0,2
654,5,GEG,1.0,0,1.0,3
655,5,GJT,0.0,0,0.0,0
656,5,GSP,0.0,0,1.0,0
657,5,HOU,0.0,0,3.0,1
658,5,HSV,0.0,0,1.0,2
659,5,IAD,1.0,0,0.0,3
660,5,IAH,1.0,0,1.0,2
661,5,IDA,0.0,0,3.0,0
662,5,ILM,0.0,0,0.0,1
663,5,IND,0.0,0,0.0,1
664,5,ISP,0.0,0,0.0,3
665,5,JAC,0.0,0,3.0,0
666,5,JFK,1.0,0,3.0,3
667,5,JNU,0.0,0,0.0,1
668,5,LAS,0.0,0,3.0,2
669,5,LAX,0.0,0,0.0,2
670,5,LEX,0.0,0,0.0,0
671,5,LGA,0.0,0,3.0,3
672,5,LGB,0.0,0,0.0,0
673,5,LWB,0.0,0,1.0,0
674,5,MCI,0.0,0,2.0,1
675,5,MCO,0.0,0,0.0,2
676,5,MDW,1.0,0,2.0,3
677,5,MHT,0.0,0,1.0,2
678,5,MIA,0.0,0,1.0,2
679,5,MKE,1.0,0,2.0,3
680,5,MSN,0.0,0,0.0,3
681,5,MSP,1.0,0,1.0,3
682,5,MSY,0.0,0,0.0,1
683,5,OAK,0.0,0,1.0,3
684,5,OGG,1.0,0,3.0,3
685,5,ONT,0.0,0,1.0,1
686,5,ORD,1.0,0,2.0,2
687,5,PDX,0.0,0,0.0,1
688,5,PHL,1.0,0,3.0,3
689,5,PHX,0.0,0,0.0,0
690,5,PIT,0.0,0,1.0,1
691,5,PNS,0.0,0,0.0,0
692,5,PVD,0.0,0,2.0,1
693,5,RDU,1.0,0,0.0,2
694,5,RIC,0.0,0,0.0,3
695,5,ROC,0.0,0,3.0,1
696,5,RSW,0.0,0,0.0,0
697,5,SAF,0.0,0,3.0,0
698,5,SAN,0.0,0,0.0,3
699,5,SAT,0.0,0,1.0,3
700,5,SAV,0.0,0,0.0,3
701,5,SBY,0.0,0,0.0,2
702,5,SEA,0.0,0,0.0,2
703,5,SFO,0.0,0,3.0,0
704,5,SGF,0.0,0,0.0,2
705,5,SHD,0.0,0,0.0,0
706,5,SJC,1.0,0,3.0,3
707,5,SJT,1.0,0,3.0,0
708,5,SLC,1.0,0,3.0,2
709,5,SMF,1.0,0,0.0,1
710,5,SNA,0.0,0,0.0,2
711,5,STL,1.0,0,0.0,3
712,5,TLH,0.0,0,0.0,1
713,5,TPA,0.0,0,0.0,3
714,5,TUL,0.0,0,3.0,2
715,6,ACT,0.0,0,0.0,2
716,6,ACV,0.0,0,3.0,0
717,6,AEX,0.0,0,0.0,0
718,6,AGS,0.0,0,0.0,0
719,6,ALB,0.0,0,1.0,1
720,6,ANC,0.0,0,0.0,3
721,6,ATL,1.0,0,2.0,2
722,6,ATW,0.0,0,1.0,0
723,6,AVL,1.0,0,3.0,0
724,6,AVP,0.0,0,0.0,0
725,6,BDL,0.0,0,1.0,2
726,6,BGR,1.0,0,1.0,3
727,6,BHM,0.0,0,0.0,1
728,6,BNA,0.0,0,0.0,2
729,6,BOI,0.0,0,1.0,0
730,6,BOS,0.0,0,2.0,1
731,6,BRW,1.0,0,0.0,3
732,6,BUF,1.0,0,3.0,3
733,6,BWI,0.0,0,0.0,1
734,6,CHS,0.0,0,2.0,1
735,6,CID,0.0,0,0.0,3
736,6,CLT,0.0,0,1.0,2
737,6,CMH,1.0,0,2.0,3
738,6,CMX,0.0,0,0.0,0
739,6,CRP,0.0,0,2.0,3
740,6,CVG,1.0,0,3.0,3
741,6,DAL,0.0,0,1.0,2
742,6,DCA,0.0,0,0.0,2
743,6,DEN,0.0,0,2.0,1
744,6,DFW,0.0,0,2.0,1
745,6,DLH,1.0,0,1.0,3
746,6,DTW,1.0,0,1.0,2
747,6,EWR,0.0,0,3.0,3
748,6,FAI,0.0,0,0.0,3
749,6,FAT,0.0,0,0.0,0
750,6,FLL,1.0,0,0.0,2
751,6,GCK,1.0,0,3.0,1
752,6,GGG,0.0,0,2.0,1
753,6,HOU,0.0,0,0.0,1
754,6,HPN,0.0,0,0.0,1
755,6,HTS,0.0,0,1.0,1
756,6,IAD,0.0,0,0.0,2
757,6,IAG,0.0,0,0.0,0
758,6,IAH,1.0,0,1.0,2
759,6,ICT,0.0,0,0.0,0
760,6,IND,1.0,0,2.0,2
761,6,JAX,0.0,0,0.0,1
762,6,JFK,1.0,0,3.0,2
763,6,LAS,0.0,0,1.0,1
764,6,LAX,0.0,0,0.0,2
765,6,LGA,1.0,0,3.0,3
766,6,LGB,0.0,0,0.0,0
767,6,LRD,0.0,0,3.0,0
768,6,MCI,1.0,0,3.0,2
769,6,MCO,0.0,0,2.0,1
770,6,MDW,1.0,0,2.0,3
771,6,MFE,0.0,0,1.0,1
772,6,MIA,1.0,0,0.0,1
773,6,MKE,0.0,0,3.0,0
774,6,MSN,0.0,0,0.0,2
775,6,MSO,0.0,0,0.0,3
776,6,MSP,1.0,0,1.0,2
777,6,MSY,0.0,0,0.0,3
778,6,OAK,0.0,0,1.0,2
779,6,OKC,1.0,0,3.0,2
780,6,OMA,0.0,0,3.0,2
781,6,ORD,1.0,0,2.0,2
782,6,ORF,1.0,0,2.0,1
783,6,PDX,0.0,0,1.0,1
784,6,PHF,1.0,0,0.0,3
785,6,PHL,0.0,0,0.0,3
786,6,PHX,0.0,0,1.0,0
787,6,PIE,1.0,0,0.0,1
788,6,PIT,1.0,0,2.0,3
789,6,PSP,0.0,0,2.0,0
790,6,PVD,0.0,0,2.0,1
791,6,PWM,0.0,0,2.0,1
792,6,RAP,0.0,0,2.0,2
793,6,RDM,0.0,0,1.0,0
794,6,RDU,0.0,0,0.0,2
795,6,RIC,1.0,0,1.0,1
796,6,RNO,0.0,0,0.0,0
797,6,ROA,0.0,0,1.0,3
798,6,RSW,1.0,0,0.0,0
799,6,SAN,0.0,0,0.0,3
800,6,SAT,1.0,0,3.0,2
801,6,SBP,0.0,0,1.0,3
802,6,SCE,0.0,0,0.0,0
803,6,SDF,0.0,0,0.0,1
804,6,SEA,0.0,0,0.0,3
805,6,SFO,0.0,0,3.0,2
806,6,SJC,0.0,0,1.0,1
807,6,SLC,0.0,0,1.0,0
808,6,SMF,0.0,0,0.0,0
809,6,STL,0.0,0,1.0,1
810,6,SWF,0.0,0,0.0,0
811,6,TPA,1.0,0,1.0,1
812,6,TTN,0.0,0,0.0,2
813,6,TUL,0.0,0,1.0,1
814,7,ABQ,0.0,0,3.0,3
815,7,ACK,0.0,0,0.0,0
816,7,ACT,0.0,0,0.0,0
817,7,ANC,0.0,0,0.0,0
818,7,ATL,1.0,0,1.0,2
819,7,AUS,0.0,0,1.0,1
820,7,AZA,0.0,0,1.0,0
821,7,AZO,0.0,0,2.0,0
822,7,BDL,0.0,0,0.0,2
823,7,BGR,0.0,0,0.0,1
824,7,BIS,0.0,0,0.0,0
825,7,BNA,0.0,0,0.0,1
826,7,BOI,0.0,0,1.0,0
827,7,BOS,0.0,0,0.0,2
828,7,BUF,0.0,0,1.0,3
829,7,BUR,0.0,0,0.0,0
830,7,BWI,1.0,0,2.0,2
831,7,BZN,0.0,0,3.0,0
832,7,CHO,1.0,0,0.0,2
833,7,CID,0.0,0,2.0,0
834,7,CLE,0.0,0,0.0,3
835,7,CLT,1.0,0,1.0,2
836,7,CMH,0.0,0,0.0,3
837,7,CVG,0.0,0,2.0,2
838,7,DAL,0.0,0,3.0,1
839,7,DCA,0.0,0,2.0,2
840,7,DEN,0.0,0,2.0,2
841,7,DFW,0.0,0,1.0,1
842,7,DTW,0.0,0,0.0,2
843,7,ELM,0.0,0,0.0,0
844,7,EWR,0.0,0,2.0,2
845,7,FAR,1.0,0,0.0,0
846,7,FAT,0.0,0,0.0,1
847,7,FWA,1.0,0,3.0,3
848,7,GCC,0.0,0,0.0,0
849,7,GEG,0.0,0,1.0,1
850,7,GNV,0.0,0,2.0,0
851,7,GSP,1.0,0,0.0,1
852,7,HLN,0.0,0,0.0,0
853,7,HNL,0.0,0,2.0,2
854,7,HOU,0.0,0,3.0,1
855,7,IAD,0.0,0,0.0,1
856,7,IAH,1.0,0,0.0,2
857,7,ILM,1.0,0,1.0,1
858,7,IND,0.0,0,0.0,2
859,7,JAX,1.0,0,1.0,2
860,7,JFK,1.0,0,3.0,2
861,7,KOA,0.0,0,0.0,2
862,7,LAS,0.0,0,2.0,1
863,7,LAX,0.0,0,0.0,1
864,7,LEX,0.0,0,0.0,0
865,7,LGA,0.0,0,3.0,2
866,7,LIH,0.0,0,0.0,1
867,7,MCI,0.0,0,0.0,1
868,7,MCO,1.0,0,2.0,2
869,7,MDW,0.0,0,0.0,0
870,7,MEM,1.0,0,2.0,2
871,7,MHT,0.0,0,0.0,2
872,7,MIA,0.0,0,0.0,1
873,7,MKE,0.0,0,0.0,0
874,7,MOT,0.0,0,3.0,0
875,7,MSN,0.0,0,0.0,2
876,7,MSO,0.0,0,2.0,0
877,7,MSP,1.0,0,3.0,2
878,7,MSY,1.0,0,0.0,1
879,7,MYR,0.0,0,0.0,0
880,7,OAK,0.0,0,3.0,2
881,7,OGG,0.0,0,2.0,0
882,7,OKC,0.0,0,1.0,1
883,7,ONT,0.0,0,1.0,2
884,7,ORD,0.0,0,1.0,1
885,7,ORF,0.0,0,2.0,0
886,7,PDX,0.0,0,1.0,3
887,7,PHF,0.0,0,0.0,0
888,7,PHL,0.0,0,1.0,2
889,7,PHX,0.0,0,2.0,2
890,7,PIT,0.0,0,1.0,1
891,7,PSP,0.0,0,1.0,0
892,7,RDU,1.0,0,1.0,2
893,7,RIC,1.0,0,0.0,3
894,7,RNO,0.0,0,1.0,0
895,7,RST,0.0,0,0.0,0
896,7,RSW,1.0,0,3.0,0
897,7,SAN,0.0,0,0.0,3
898,7,SAT,0.0,0,0.0,1
899,7,SAV,0.0,0,0.0,1
900,7,SBN,0.0,0,0.0,1
901,7,SDF,0.0,0,2.0,2
902,7,SEA,0.0,0,0.0,1
903,7,SFO,0.0,0,0.0,0
904,7,SHV,0.0,0,2.0,2
905,7,SJC,0.0,0,0.0,0
906,7,SLC,0.0,0,2.0,1
907,7,SNA,0.0,0,0.0,2
908,7,STL,1.0,0,2.0,1
909,7,STS,0.0,0,0.0,1
910,7,SYR,0.0,0,2.0,3
911,7,TPA,1.0,0,2.0,2
912,7,TYS,0.0,0,3.0,2
913,7,USA,0.0,0,0.0,0
914,7,XNA,1.0,0,3.0,0
915,8,ACY,1.0,0,3.0,0
916,8,AEX,1.0,0,3.0,0
917,8,ANC,0.0,0,0.0,0
918,8,ATL,1.0,0,1.0,2
919,8,AUS,0.0,0,1.0,1
920,8,BDL,0.0,0,0.0,2
921,8,BFL,0.0,0,0.0,0
922,8,BGR,0.0,0,0.0,0
923,8,BHM,1.0,0,0.0,2
924,8,BIS,0.0,0,1.0,0
925,8,BNA,0.0,0,0.0,1
926,8,BOI,0.0,0,0.0,0
927,8,BOS,0.0,0,1.0,1
928,8,BUF,1.0,0,3.0,3
929,8,BUR,0.0,0,0.0,1
930,8,BWI,1.0,0,2.0,2
931,8,CHO,0.0,0,0.0,0
932,8,CLE,0.0,0,0.0,3
933,8,CLT,1.0,0,2.0,2
934,8,CMH,0.0,0,0.0,2
935,8,COS,0.0,0,3.0,1
936,8,COU,1.0,0,1.0,3
937,8,CRP,0.0,0,0.0,0
938,8,CVG,0.0,0,3.0,3
939,8,DAY,1.0,0,0.0,2
940,8,DCA,0.0,0,2.0,2
941,8,DEN,0.0,0,3.0,1
942,8,DFW,0.0,0,1.0,1
943,8,DSM,1.0,0,3.0,3
